,original_dt,update_dt,agency,county,city,subject_list,subject_std,pty,worked_by,overall_stus,assignment_stus,assignee,jurisdictiont_tracking_num,state_tracking_num,emac_federal_ma_num
898,2020-03-17,2020-03-21,Thurston County Emergency Management,Thurston,Olympia,"mask, n95, 200",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,TH­202031911647 TH­202031911647,WA­ 202031911647,
899,2020-03-17,2020-03-21,Western Washington Medical Group,Snohomish,Everett,"mask, surgical",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,142 SNOCO ­ 20203179574,WA­ 20203179574,
900,2020-03-10,2020-03-21,Edmonds School District,Snohomish,Edmonds,"gloves, exam, medium",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SNOCO ­ WA­ 202031014590,WA­ 202031014590,
900,2020-03-10,2020-03-21,Edmonds School District,Snohomish,Edmonds,"gloves, exam, large",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SNOCO ­ WA­ 202031014590,WA­ 202031014590,
901,2020-03-09,2020-03-21,Providence Everett Medical,Snohomish,Everett,respirator,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PRMCE005 SnoCo­20203917626,WA­ 20203917626,
901,2020-03-09,2020-03-21,Providence Everett Medical,Snohomish,Everett,"papr, capr",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PRMCE005 SnoCo­20203917626,WA­ 20203917626,
902,2020-03-12,2020-03-21,Community Health Center CHC,Snohomish,Everett,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Snoco­20203121617,WA­ 20203121617,
903,2020-03-10,2020-03-21,Flourish Family Medicine,Snohomish,Mill Creek,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SnoCo­202031012344,WA­ 202031012344,
903,2020-03-10,2020-03-21,Flourish Family Medicine,Snohomish,Mill Creek,"gown, procedure, medium",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SnoCo­202031012344,WA­ 202031012344,
903,2020-03-10,2020-03-21,Flourish Family Medicine,Snohomish,Mill Creek,"gown, procedure, large",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SnoCo­202031012344,WA­ 202031012344,
904,2020-03-16,2020-03-21,Rescare Homecare­ SHD,Snohomish,Everett,"gloves, exam, med",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Everett 78238­138 Snoco­20203169719,WA­ 20203169719,
904,2020-03-16,2020-03-21,Rescare Homecare­ SHD,Snohomish,Everett,"gloves, exam, small",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Everett 78238­138 Snoco­20203169719,WA­ 20203169719,
905,2020-03-16,2020-03-21,View Ridge Care Center ­ SHD,Snohomish,Everett,"gown, isolation",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Everett 78238­134 SnoCo­202031610104,WA­ 202031610104,
906,2020-03-16,2020-03-21,View Ridge Care Center ­ SHD,Snohomish,Everett,"mask, surgical",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Everett 78238­135 SnoCo­202031610530,WA­ 202031610530,
907,2020-03-10,2020-03-21,Josephine Caring Community,Snohomish,Stanwood,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SNOCO ­ WA­ 202031010476,WA­ 202031010476,
908,2020-03-16,2020-03-21,Mountain Veiw Rehab and Care Center,Snohomish,Marysville,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Everett 78238­139 SNOCO ­ 20203161216,WA­ 20203161216,
909,2020-03-10,2020-03-21,Josephine Caring Community,Snohomish,Stanwood,"goggles, safety",Goggles/Glasses,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SNOCO ­ WA­ 202031010775,WA­ 202031010775,
910,2020-03-16,2020-03-21,Sunrise View Convalescent Center­SHD,Snohomish,Everett,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Snoco­20203161560,WA­ 20203161560,
911,2020-03-19,2020-03-19,Okanogan EM / Aero Methow,Okanogan,Twisp,"sprayer, electrostatic cordless",,Incident Stabilization,County,Unassigned,,,OKEM20200316­ 0005.6,WA­ 20203198623,
912,2020-03-19,2020-03-19,Okanogan EM / Aero Methow,Okanogan,Twisp,"respirator, particulate",,Incident Stabilization,County,Unassigned,,,OKEM20200316­ 0005.4,WA­ 20203198541,
913,2020-03-11,2020-03-19,The Villager Inn,Cowlitz,Castle Rock,medical protective equipment,Protective Equipment,Incident Stabilization,County,Unassigned,,,DEM­008,WA­ 202031110138,
913,2020-03-11,2020-03-19,The Villager Inn,Cowlitz,Castle Rock,supplies,,Incident Stabilization,County,Unassigned,,,DEM­008,WA­ 202031110138,
914,2020-03-18,2020-03-19,Cowlitz 2 Fire & Rescue,Cowlitz,Kelso,medical protective equipment,Protective Equipment,Incident Stabilization,County,Unassigned,,,DEM­019,WA­ 202031812111,
914,2020-03-18,2020-03-19,Cowlitz 2 Fire & Rescue,Cowlitz,Kelso,supplies,,Incident Stabilization,County,Unassigned,,,DEM­019,WA­ 202031812111,
915,2020-03-10,2020-03-19,Kitsap County Administrative Services Department,Kitsap,Port Orchard,personal protective equipment,,Incident Stabilization,State,Cancelled,Cancelled,Logistics Section,Kitsap­004,WA­ 202031013409,
915,2020-03-10,2020-03-19,Kitsap County Administrative Services Department,Kitsap,Port Orchard,supplies,,Incident Stabilization,State,Cancelled,Cancelled,Logistics Section,Kitsap­004,WA­ 202031013409,
916,2020-03-10,2020-03-19,Kitsap County Administrative Services Department,Kitsap,Port Orchard,personal protective equipment,,Incident Stabilization,State,Cancelled,Cancelled,Logistics Section,Kitsap­003,WA­ 202031012163,
916,2020-03-10,2020-03-19,Kitsap County Administrative Services Department,Kitsap,Port Orchard,supplies,,Incident Stabilization,State,Cancelled,Cancelled,Logistics Section,Kitsap­003,WA­ 202031012163,
917,2020-03-09,2020-03-19,Kitsap County Admin Services,Kitsap,Bainbridge Island,protective equipment,,Incident Stabilization,State,Cancelled,Cancelled,Logistics Section,Kitsap­002,WA­ 20203916304,
917,2020-03-09,2020-03-19,Kitsap County Admin Services,Kitsap,Bainbridge Island,supplies,,Incident Stabilization,State,Cancelled,Cancelled,Logistics Section,Kitsap­002,WA­ 20203916304,
918,2020-03-08,2020-03-19,DOH Area Command,Thurston,Tumwater,^ sme for resource tracker,,Incident Stabilization,State,Completed,Completed,Logistics Section,DOH­T 0308.4 WA­ 20203812901,WA­ 20203812901,
919,2020-03-18,2020-03-18,Island Hospital,Skagit,Anacortes,"mask,surgical",Masks,Incident Stabilization,County,Completed,,,2.02003E+11,WA­ 20203181712,
919,2020-03-18,2020-03-18,Island Hospital,Skagit,Anacortes,"mask,n95",Masks,Incident Stabilization,County,Completed,,,2.02003E+11,WA­ 20203181712,
920,2020-03-18,2020-03-18,Skagit Community Detox,Skagit,Burlington,thermometer ear probe covers,Thermometers,Incident Stabilization,County,Unassigned,,,2.02003E+11,WA­ 202031817963,
921,2020-03-18,2020-03-18,Cowlitz Family Health Center,Cowlitz,Longview,medical equipment,,Incident Stabilization,County,Unassigned,,,DEM­020,WA­ 202031816696,
922,2020-03-18,2020-03-18,Smokey Point Behavioral Hospital,Snohomish,Everett,"sanitizer, hand",Disinfectant/Sanitizer,Incident Stabilization,County,Accepted,,,SnoCo­ 202031816465,WA­ 202031816465,
923,2020-03-14,2020-03-21,PHSKC ­ Needle Exchange Program,King,Seattle,rr 270 hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031413275, RR 270 KC­ 202031413275",WA­ 202031413275,
923,2020-03-14,2020-03-21,PHSKC ­ Needle Exchange Program,King,Seattle,"disinfectant, wipes",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031413275, RR 270 KC­ 202031413275",WA­ 202031413275,
924,2020-03-16,2020-03-21,Grays Harbor Fire District #7,Grays,Harbor Ocean Shores,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,GHFD7­002 GHC020,WA­ 202031611213,
925,2020-03-12,2020-03-21,Kirkpatrick Family Care,Cowlitz,Longview,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031211984,WA­ 202031211984,
926,2020-03-11,2020-03-21,New Westside Terrace,Cowlitz,Longview,"thermometers, no contact",Thermometers,Incident Stabilization,County,Assigned,Assigned,Logistics Section,DEM­010,WA­ 20203111019,
927,2020-03-14,2020-03-21,Swedish Issaquah Medical,King,Issaquah,"wipes, disinfectant",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031423334, RR 293 KC­ 202031423334",WA­ 202031423334,
927,2020-03-14,2020-03-21,Swedish Issaquah Medical,King,Issaquah,hand sanitizer pump,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031423334, RR 293 KC­ 202031423334",WA­ 202031423334,
927,2020-03-14,2020-03-21,Swedish Issaquah Medical,King,Issaquah,"hand wash, foam",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031423334, RR 293 KC­ 202031423334",WA­ 202031423334,
927,2020-03-14,2020-03-21,Swedish Issaquah Medical,King,Issaquah,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031423334, RR 293 KC­ 202031423334",WA­ 202031423334,
928,2020-03-17,2020-03-21,Newport Hospital and Health Services,Pend,Oreille Cusick,viral transport media or universal transport media,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031718633,WA­ 202031718633,
929,2020-03-16,2020-03-21,Grays Harbor Fire Dist. #7,Grays,Harbor Ocean Shores,eyewear,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,GHFD7­003 GHC019,WA­ 202031611849,
930,2020-02-26,2020-03-21,PHSKC,King,Seattle,rr 133,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202022610875 WA­ 202022610875,WA­ 202022610875,
930,2020-02-26,2020-03-21,PHSKC,King,Seattle,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202022610875 WA­ 202022610875,WA­ 202022610875,
931,2020-03-12,2020-03-21,King County­ Department of Community and Human Services,King,Seattle,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KC­ 202031214752 WA­ 202031214752,WA­ 202031214752,
932,2020-03-14,2020-03-21,Swedish Redmond Medical,King,Redmond,"rr 288 ­ wipes,sanitizer",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031419442, RR 288 KC­ 202031419442",WA­ 202031419442,
932,2020-03-14,2020-03-21,Swedish Redmond Medical,King,Redmond,"hand soup, foam",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031419442, RR 288 KC­ 202031419442",WA­ 202031419442,
932,2020-03-14,2020-03-21,Swedish Redmond Medical,King,Redmond,"hand sanitizer,",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031419442, RR 288 KC­ 202031419442",WA­ 202031419442,
933,2020-03-16,2020-03-21,Aberdeen Fire Department,Grays,Harbor Aberdeen,procedure masks,Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,3­16­2 GHC024,WA­ 202031611426,
934,2020-03-02,2020-03-21,King County Metro Transit,King,Seattle,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,MTD­001,WA­ 20203220256,
934,2020-03-02,2020-03-21,King County Metro Transit,King,Seattle,^,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,MTD­001,WA­ 20203220256,
935,2020-03-19,2020-03-21,Newport Hospital and Health Services,Pend,Oreille Cusick,"icu ventilators, 8",,Life Saving,County,Assigned,Assigned,Logistics Section,WA­ 202031912690 WA­ 202031912690,WA­ 202031912690,
936,2020-03-16,2020-03-21,Columbia County Public Hospital District #1,Columbia,Dayton,"ventilator, system, heat exchangers,,inhaler adapters, circuits, filters, catheters",,Life Saving,County,Assigned,Assigned,Logistics Section,2020/0256/02,WA­ 202031611808,
937,2020-03-13,2020-03-21,King County DNRP WLRD,King,Seattle,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KC­ 202031315639,WA­ 202031315639,
937,2020-03-13,2020-03-21,King County DNRP WLRD,King,Seattle,"disinfectant, wipes",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KC­ 202031315639,WA­ 202031315639,
938,2020-03-11,2020-03-21,City of Shoreline,King,Shoreline,"disinfectant, wall mounted",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SH­ 03112020001 SH­ 03112020001,WA­ 202031112770,
940,2020-03-08,2020-03-21,Highmark Adult Family Home,King,Renton,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203817580,WA­ 20203817580,
940,2020-03-08,2020-03-21,Highmark Adult Family Home,King,Renton,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203817580,WA­ 20203817580,
940,2020-03-08,2020-03-21,Highmark Adult Family Home,King,Renton,"gloves, exam",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203817580,WA­ 20203817580,
940,2020-03-08,2020-03-21,Highmark Adult Family Home,King,Renton,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203817580,WA­ 20203817580,
941,2020-03-06,2020-03-21,Woodinville Pediatrics,King,Woodinville,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­2020361778 KC­2020361778,WA­ 2020361778,
942,2020-03-16,2020-03-21,WWMG Imaging Center ­SHD,Snohomish,Everett,"thermometer, cover",Thermometers,Incident Stabilization,County,Assigned,Assigned,Logistics Section,141 Snoco­ 202031615307,WA­ 202031615307,
943,2020-03-08,2020-03-21,Kline Galland Home,King,Seattle,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203810222 PH­ 20203810222,WA­ 20203810222,
943,2020-03-08,2020-03-21,Kline Galland Home,King,Seattle,"shield, face",Face Shield,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203810222 PH­ 20203810222,WA­ 20203810222,
943,2020-03-08,2020-03-21,Kline Galland Home,King,Seattle,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203810222 PH­ 20203810222,WA­ 20203810222,
944,2020-03-09,2020-03-21,Ballard Pediatric Clinic,King,Seattle,"gown, isolation",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203914933,WA­ 20203914933,
945,2020-03-10,2020-03-21,Tree of Health Integrative Medicine,King,Woodinville,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031010438 WA­ 202031010438,WA­ 202031010438,
945,2020-03-10,2020-03-21,Tree of Health Integrative Medicine,King,Woodinville,"goggle, safety",Goggles/Glasses,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031010438 WA­ 202031010438,WA­ 202031010438,
945,2020-03-10,2020-03-21,Tree of Health Integrative Medicine,King,Woodinville,"gown, disposable, small medium",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031010438 WA­ 202031010438,WA­ 202031010438,
946,2020-03-13,2020-03-21,Swedish Mill Creek Medical,Snohomish,Everett,"gloves, nitrile exam",Gloves,Incident Stabilization,County,Assigned,Completed,Logistics Section,SnoCo­ 202031312281 WA­ 202031312281,WA­ 202031312281,
947,2020-03-03,2020-03-21,King County FMD,King,Seattle,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KC20203312766,WA­ 20203312766,
947,2020-03-03,2020-03-21,King County FMD,King,Seattle,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KC20203312766,WA­ 20203312766,
947,2020-03-03,2020-03-21,King County FMD,King,Seattle,wipes,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KC20203312766,WA­ 20203312766,
947,2020-03-03,2020-03-21,King County FMD,King,Seattle,"gloves, exam, medium",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KC20203312766,WA­ 20203312766,
947,2020-03-03,2020-03-21,King County FMD,King,Seattle,"gloves, exam, large",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KC20203312766,WA­ 20203312766,
947,2020-03-03,2020-03-21,King County FMD,King,Seattle,"gloves, exam, x­ large",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KC20203312766,WA­ 20203312766,
948,2020-03-08,2020-03-21,Ellison Terrace AFH LLC,King,Renton,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203815269 PH­ 20203815269,WA­ 20203815269,
948,2020-03-08,2020-03-21,Ellison Terrace AFH LLC,King,Renton,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203815269 PH­ 20203815269,WA­ 20203815269,
948,2020-03-08,2020-03-21,Ellison Terrace AFH LLC,King,Renton,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203815269 PH­ 20203815269,WA­ 20203815269,
948,2020-03-08,2020-03-21,Ellison Terrace AFH LLC,King,Renton,"gown, isolation",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203815269 PH­ 20203815269,WA­ 20203815269,
948,2020-03-08,2020-03-21,Ellison Terrace AFH LLC,King,Renton,"glove, exam",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203815269 PH­ 20203815269,WA­ 20203815269,
949,2020-03-19,2020-03-21,City of Marysville,Snohomish,Marysville,"shields, face",Face Shield,Incident Stabilization,County,Assigned,Assigned,Logistics Section,002 SnoCo­ 202031910534,WA­ 202031910534,
950,2020-03-10,2020-03-21,City of Redmond,King,Redmond,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Completed,Logistics Section,RED2020­001 KC­ 202031012375,WA­ 202031012375,
951,2020-03-10,2020-03-21,Faith House AFH LLC,King,Auburn,rr 211,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031010967 ­,WA­ 202031010967,
951,2020-03-10,2020-03-21,Faith House AFH LLC,King,Auburn,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031010967 ­,WA­ 202031010967,
951,2020-03-10,2020-03-21,Faith House AFH LLC,King,Auburn,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031010967 ­,WA­ 202031010967,
951,2020-03-10,2020-03-21,Faith House AFH LLC,King,Auburn,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031010967 ­,WA­ 202031010967,
951,2020-03-10,2020-03-21,Faith House AFH LLC,King,Auburn,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031010967 ­,WA­ 202031010967,
951,2020-03-10,2020-03-21,Faith House AFH LLC,King,Auburn,"gloves, exam",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031010967 ­,WA­ 202031010967,
952,2020-03-06,2020-03-21,PHSKC,King,Seattle,rr 176,,Incident Stabilization,County,Accepted,Assigned,Logistics Section,PH­ 20203623209 KC­ 20203623209,WA­ 20203623209,
952,2020-03-06,2020-03-21,PHSKC,King,Seattle,"mask, procedure",Masks,Incident Stabilization,County,Accepted,Assigned,Logistics Section,PH­ 20203623209 KC­ 20203623209,WA­ 20203623209,
952,2020-03-06,2020-03-21,PHSKC,King,Seattle,"gown, disposable",Gowns,Incident Stabilization,County,Accepted,Assigned,Logistics Section,PH­ 20203623209 KC­ 20203623209,WA­ 20203623209,
952,2020-03-06,2020-03-21,PHSKC,King,Seattle,"glasses, safety",Goggles/Glasses,Incident Stabilization,County,Accepted,Assigned,Logistics Section,PH­ 20203623209 KC­ 20203623209,WA­ 20203623209,
952,2020-03-06,2020-03-21,PHSKC,King,Seattle,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Accepted,Assigned,Logistics Section,PH­ 20203623209 KC­ 20203623209,WA­ 20203623209,
953,2020-03-10,2020-03-21,King County,King,Seattle,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KCEMS­2020­ 0001 KC­ 202031011574,WA­ 202031011574,
953,2020-03-10,2020-03-21,King County,King,Seattle,"gloves, exam",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KCEMS­2020­ 0001 KC­ 202031011574,WA­ 202031011574,
953,2020-03-10,2020-03-21,King County,King,Seattle,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KCEMS­2020­ 0001 KC­ 202031011574,WA­ 202031011574,
953,2020-03-10,2020-03-21,King County,King,Seattle,"shield, face",Face Shield,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KCEMS­2020­ 0001 KC­ 202031011574,WA­ 202031011574,
954,2020-03-08,2020-03-21,Majestic Senior Care LLC,King,Kirkland,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­2020381121 PH­2020381121,WA­ 2020381121,
954,2020-03-08,2020-03-21,Majestic Senior Care LLC,King,Kirkland,"gloves, exam",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­2020381121 PH­2020381121,WA­ 2020381121,
954,2020-03-08,2020-03-21,Majestic Senior Care LLC,King,Kirkland,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­2020381121 PH­2020381121,WA­ 2020381121,
954,2020-03-08,2020-03-21,Majestic Senior Care LLC,King,Kirkland,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­2020381121 PH­2020381121,WA­ 2020381121,
955,2020-03-06,2020-03-21,PHSKC,King,Seattle,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203623733 KC­ 20203623733,WA­ 20203623733,
955,2020-03-06,2020-03-21,PHSKC,King,Seattle,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203623733 KC­ 20203623733,WA­ 20203623733,
955,2020-03-06,2020-03-21,PHSKC,King,Seattle,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203623733 KC­ 20203623733,WA­ 20203623733,
955,2020-03-06,2020-03-21,PHSKC,King,Seattle,"shield, face",Face Shield,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203623733 KC­ 20203623733,WA­ 20203623733,
955,2020-03-06,2020-03-21,PHSKC,King,Seattle,"goggles, safety",Goggles/Glasses,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203623733 KC­ 20203623733,WA­ 20203623733,
956,2020-03-06,2020-03-21,PHSKC,King,Seattle,"mask, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203619280 KC­ 20203619280,WA­ 20203619280,
956,2020-03-06,2020-03-21,PHSKC,King,Seattle,"mask, surgical",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203619280 KC­ 20203619280,WA­ 20203619280,
957,2020-03-16,2020-03-21,King County Emergency Management,King,Renton,"assessment center, renton, high capacity shelter­ sme ­ ta",,Incident Stabilization,State,Cancelled,Cancelled,Logistics Intergovernmental Resources Branch,KC­ 20203167963,WA­ 20203167963,
958,2020-03-19,2020-03-21,GCSO,Grant,Ephrata,safety glasses,Goggles/Glasses,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031913464 2020­17,WA­ 202031913464,
958,2020-03-19,2020-03-21,GCSO,Grant,Ephrata,tyvek suits,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031913464 2020­17,WA­ 202031913464,
958,2020-03-19,2020-03-21,GCSO,Grant,Ephrata,"masks, n95",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031913464 2020­17,WA­ 202031913464,
959,2020-03-17,2020-03-21,Confluence Health/Central Washington Hospital,Chelan,Wenatchee,swab,SWABS,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031717606 2020­03­17­07,WA­ 202031717606,
959,2020-03-17,2020-03-21,Confluence Health/Central Washington Hospital,Chelan,Wenatchee,transport media,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031717606 2020­03­17­07,WA­ 202031717606,
960,2020-03-19,2020-03-21,Okanogan EM / Fire Dist 15 EMS,Okanogan,Pateros,"thermometer, ear",Thermometers,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031911865 OKEM20200319­ 0007,WA­ 202031911865,
961,2020-03-17,2020-03-21,Chelan County Fire District #7,Chelan,Chelan,"tyvex suits, xxl,xl,large,",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 20203179852 2020­03­17­06,WA­ 20203179852,
961,2020-03-17,2020-03-21,Chelan County Fire District #7,Chelan,Chelan,"decon spayers,",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 20203179852 2020­03­17­06,WA­ 20203179852,
961,2020-03-17,2020-03-21,Chelan County Fire District #7,Chelan,Chelan,ppe,PPE,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 20203179852 2020­03­17­06,WA­ 20203179852,
962,2020-03-18,2020-03-21,Moses Lake Fire Department,Grant,Moses Lake,"mask, n95, small, 200, medium, 200, large, 100",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031815771 2020­14,WA­ 202031815771,
962,2020-03-18,2020-03-21,Moses Lake Fire Department,Grant,Moses Lake,"shield, face, 600",Face Shield,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031815771 2020­14,WA­ 202031815771,
962,2020-03-18,2020-03-21,Moses Lake Fire Department,Grant,Moses Lake,"gown,disposable, 1000",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031815771 2020­14,WA­ 202031815771,
963,2020-03-16,2020-03-21,Chelan County Fire District #3,Chelan,Leavenworth,"goggles,safety",Goggles/Glasses,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031614193 2020­03­16­04,WA­ 202031614193,
963,2020-03-16,2020-03-21,Chelan County Fire District #3,Chelan,Leavenworth,"masks, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031614193 2020­03­16­04,WA­ 202031614193,
963,2020-03-16,2020-03-21,Chelan County Fire District #3,Chelan,Leavenworth,"gowns, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031614193 2020­03­16­04,WA­ 202031614193,
963,2020-03-16,2020-03-21,Chelan County Fire District #3,Chelan,Leavenworth,"sanatizer, hand",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031614193 2020­03­16­04,WA­ 202031614193,
963,2020-03-16,2020-03-21,Chelan County Fire District #3,Chelan,Leavenworth,"disenfectant, virex concentrate",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031614193 2020­03­16­04,WA­ 202031614193,
