,original_dt,update_dt,agency,county,city,subject,pty,worked_by,overall_stus,assignment_stus,assignee,jurisdictiont_tracking_num,state_tracking_num,emac_federal_ma_num
802,2020-03-11,2020-03-21,Snohomish Health District,Snohomish,Everett,"Cooler, Temperature Control",Incident Stabilization,County,Assigned,Assigned,Logistics Section,Snoco ­ WA­ 202031110728,WA­ 202031110728,
803,2020-03-09,2020-03-21,PHSKC,King,Seattle,"Staffing, Seattle, HMAC Ops Sec Chief",Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 20203910589 PH­ 20203910589,WA­ 20203910589,
804,2020-03-17,2020-03-21,Neighborcare Health,King,Seattle,"Exam, Large / Gloves, Exam, Medium / Gloves, Exam, Small / RR 309 (Do Not Remove) ­ PPE for Neighborcare Health",Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­202031710101, RR 309 WA­202031710101",WA­ 202031710101,
805,2020-03-13,2020-03-21,Snohomish County Fire Task Force,Snohomish,Everett,"Filter, HEPAS",Incident Stabilization,County,Assigned,Assigned,Logistics Section,SnoCo­ 202031310582 WA­202031310582,WA­ 202031310582,
806,2020-03-09,2020-03-21,City of Bothell,King,Bothell,"Glasses, Safety",Incident Stabilization,County,Assigned,Assigned,Logistics Section,BOT0107 KC­20203912366,WA­ 20203912366,
807,2020-03-13,2020-03-21,Thurston County Emergency Management,Thurston,Olympia,"Gown, Disposable / mask, surgical / shield, face / gloves, exam, large",Incident Stabilization,County,Assigned,Assigned,Logistics Section,TH­202031315212 TH­202031315212,WA­ 202031315212,
808,2020-03-17,2020-03-21,Neighborcare Health,King,Seattle,RR 313 (Do Not Remove) ­ Disinfectant Supplies for Neighborcare Health,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­202031711853, RR 313 KC­202031711853",WA­ 202031711853,
809,2020-03-10,2020-03-21,The Everett Clinic,Snohomish,Marysville,N95 Masks / ^,Incident Stabilization,State,Completed,Completed,Logistics Section,SNOCO ­ WA­ 202031014109,WA­ 202031014109,
810,2020-03-12,2020-03-21,Mercer Island Pediatrics,King,Mercer Island,Mask N95 / Mask Surgical / Gown / mask eye cover,Incident Stabilization,County,Assigned,Assigned,Logistics Section,MI­005 KC­20203121521,WA­ 20203121521,
811,2020-03-09,2020-03-21,City of Bothell logistics,King,Bothell,"Shield, Face",Incident Stabilization,County,Assigned,Assigned,Logistics Section,BOT0104 KC­2020398460,WA­ 2020398460,
812,2020-03-22,2020-03-24,WDFW,Thurston,Olympia,* WDFW List,Incident Stabilization,State,Accepted,Assigned,ESF 7­Resource Management,WA­ 202032211189 WDFW,WA­ 202032211189,
813,2020-03-10,2020-03-24,Josephine Caring Community,Snohomish,Stanwood,"Mask, N95",Incident Stabilization,County,Accepted,Completed,Logistics Section,SNOCO ­ WA­ 202031010181,WA­ 202031010181,
814,2020-03-24,2020-03-24,Salvation Army,Kitsap,Bremerton,PPE/medical supplies for Tier 4 Congregate Location,,County,Unassigned,,,Kitsap ­ 052SLVA,WA­ 20203248939,
815,2020-03-23,2020-03-24,Snohomish County,Snohomish,Everett,* Snohomish County Consolidated List,Incident Stabilization,State,Accepted,Assigned,ESF 7­Resource Management,WA­ 20203231827,WA­ 20203231827,
816,2020-03-23,2020-03-24,Whatcom County,Whatcom,Bellingham,* Whatcom Consolidated List,Incident Stabilization,State,Accepted,Assigned,ESF 7­Resource Management,WA­ 202032318971,WA­ 202032318971,
817,2020-03-16,2020-03-24,Spokane Regional Health District,Spokane,Spokane,"Staffing, Spokane, Type 2 IMT Short Team",Incident Stabilization,County,In Transit,Assigned Completed,ESF 4­Firefighting Logistics Intergovernmental Resources Branch,SRHD­002,WA­ 202031616215,2591­ 108832
818,2020-03-22,2020-03-24,Department of Emergency Management,Skagit,Mount Vernon,*Consolidated Skagit PPE,Incident Stabilization,State,Accepted,Accepted,ESF 7­Resource Management,2.02003E+11,WA­ 20203221112,
819,2020-03-23,2020-03-24,Quinnault Indian Nation,Grays,Harbor Taholah,* Quinault Consolidated List,Incident Stabilization,State,Accepted,Assigned,ESF 7­Resource Management,QIN­Covid­19 20­0265 2020 WA­ 20203231348,WA­ 20203231348,
820,2020-03-22,2020-03-24,Cowlitz Indian Tribe,Cowlitz,Longview,*Cowlitz Tribe Request,Incident Stabilization,State,Accepted,Assigned,ESF 7­Resource Management,WA­ 202032216165 CIT20­000003,WA­ 202032216165,
821,2020-03-19,2020-03-24,Kent OEM,King,Kent,"PPE: surgical mask, eye protection, disposible gowns, medical gloves",Incident Stabilization,County,Assigned,Assigned,Logistics Section,001 KC­ 202031916272,WA­ 202031916272,
822,2020-03-12,2020-03-24,Department of Corrections,Thurston,Tumwater,"Disinfectant, spray, wipes / hand sanitizer",Incident Stabilization,State,Assigned,Assigned,Logistics Section,51,WA­ 202031217369,
823,2020-03-06,2020-03-24,Department of Corrections,Thurston,Tumwater,"Mask, N95",Incident Stabilization,State,Assigned,Assigned,Logistics Section,00028 00028,WA­ 20203616353,
824,2020-03-12,2020-03-24,Department of Corrections,Thurston,Tumwater,"Thermometer, Oral Probe",Incident Stabilization,State,Assigned,Assigned,Logistics Section,00045 WA­ 202031215966,WA­ 202031215966,
825,2020-03-14,2020-03-24,Spokane County DEM,Spokane,Spokane,"Staffing, OSC PSC, Spokane",Incident Stabilization,County,Cancelled,Assigned,Operations Section,20­0265­001 WA­ 20203141221,WA­ 20203141221,
826,2020-03-23,2020-03-24,Clallam County EOC,Clallam,Forks,Cots,Incident Stabilization,County,Assigned,Cancelled,Logistics Section,20­0265 Health 001,WA­ 202032314841,
827,2020-03-20,2020-03-21,Felida Lodge Adult Family Home,Clark,Vancouver,"Masks, N95",Incident Stabilization,County,Assigned,Assigned,Logistics Section,COVID­021,WA­ 20203209524,
828,2020-03-08,2020-03-21,PinesBrook AFH LLC,King,Des Moines,"RR 193 / mask, N95 / mask, procedure / hand sanitizer / gown, disposable / gloves, exam",Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­20203816708,WA­ 20203816708,
829,2020-03-04,2020-03-21,Pend Oreille County,Pend,Oreille Cusick,"Mask, N95",Incident Stabilization,County,Assigned,Assigned,Logistics Section,PDOR202003416330,WA­ 20203416330,
830,2020-03-20,2020-03-21,The Vancouver Clinic,Clark,Vancouver,SWABS,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­202032010927 COVID­022,WA­ 202032010927,
831,2020-03-04,2020-03-21,PHSKC,King,Seattle,"Underpads / Bags, Trash / Tongue Depressors / Swabs / Wipes",Incident Stabilization,County,Assigned,Assigned,Logistics Section,RR 145 PH­20203418827,WA­ 20203418827,
832,2020-03-13,2020-03-21,Grays Harbor County,Grays,Harbor Montesano,Hand Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,GHC011,WA­ 202031313146,
833,2020-03-20,2020-03-21,The Vancouver Clinic,Clark,Vancouver,"Mask, Fluid shield, / Mask, N95, / Mask, procedure, /",Incident Stabilization,County,Assigned,Assigned,Logistics Section,COVID­024 CREOC­0029,WA­ 202032010617,
834,2020-03-20,2020-03-21,The Vancouver Clinic,Clark,Vancouver,"wipes, gowns, nitrile gloves",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­202032011823 COVID­023,WA­ 202032011823,
835,2020-03-16,2020-03-21,Park Place Assisted Living,King,Seattle,RR 299 / hand sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­202031615147, RR 299 WA­202031615147",WA­ 202031615147,
836,2020-03-17,2020-03-21,Van Mall Senior Living,Clark,Vancouver,"Mask, Procedure / Face Masks",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­202031713477 COVID­011,WA­ 202031713477,
837,2020-03-12,2020-03-21,Grays Harbor Transit Authority,Grays,Harbor Hoquiam,"sprayer, disinfectant",Incident Stabilization,County,Assigned,Assigned,Logistics Section,GHT001 GHC010,WA­ 202031220360,
838,2020-03-16,2020-03-21,Swedish First Hill Medical,King,Seattle,"RR 297 / hand sanitizer / disinfectant, wipes / hand soap",Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­202031615893, RR 297 WA­202031615893",WA­ 202031615893,
839,2020-03-13,2020-03-21,Ilwaco Fire Department,Pacific,Ilwaco,Hand Sanitizer / mask N95 / gown,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PacificCo002 WA­202031314441,WA­ 202031314441,
840,2020-03-16,2020-03-21,Issaquah Nursing and Rehab,King,Issaquah,"RR 304 / disinfectant, wipes / hand sanitizer",Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­20203161529, RR KC­20203161529",WA­ 20203161529,
841,2020-03-14,2020-03-21,King County Emergency Management,King,Renton,Assessment/Recovery Center supplies sites 3 through 6,Incident Stabilization,County,Assigned,Assigned,Logistics Intergovernmental Resources Branch,KC­202031420641,WA­ 202031420641,
842,2020-03-12,2020-03-21,Lewis County DEM Riverside Fire,Lewis,Centralia,"Gown, Disposable / Glasses, Safety / Mask, Procedure /",Incident Stabilization,County,Assigned,Assigned,Logistics Section,Lewis ­ 202031011566 WA­ 20203121179,WA­ 20203121179,
843,2020-03-13,2020-03-21,Lewis County DEM Morton Hospital,Lewis,Morton,"Gown, Isolation / mask, surgical / shield, face / testing supplies",Incident Stabilization,County,Assigned,Assigned,Logistics Section,Lewis ­ 202031011566,WA­ 202031319872,
844,2020-03-18,2020-03-21,All Heart Agency,Island,Coupeville,Nitrile Gloves,Incident Stabilization,County,Cancelled,,,IC­20­030027,WA­ 20203181038,
845,2020-03-13,2020-03-21,Pierce County Emergency Management,Pierce,Tacoma,"disinfectant, wipes / hand sanitizer / gown",Incident Stabilization,County,Assigned,Assigned,Logistics Section,29133 WA­ 20203131275,WA­ 20203131275,
846,2020-03-13,2020-03-21,Lewis County DEM Rescare Homecare,Lewis,Centralia,Face Mask,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Lewis ­ 202031011566,WA­ 202031319542,
847,2020-03-13,2020-03-21,Pierce County Emergency Management,Pierce,Tacoma,"Mask, N95 / mask, procedure / medical apron / disinfectant, wipes, spray / mask, N95 / thermometer, no contact",Incident Stabilization,County,Assigned,Assigned,Logistics Section,29082 WA­ 202031311543,WA­ 202031311543,
848,2020-03-18,2020-03-21,Camano Island Fire Rescue,Island,Coupeville,"Mask, Procedure, w/ Eye Shield, Large, 1000",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 20203189176 IC­20­030022,WA­ 20203189176,
849,2020-03-17,2020-03-21,Camano Island Fire Rescue,Island,Coupeville,"Mask, Procedure, / Disposable surgical masks",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031715434 IC­20­030021,WA­ 202031715434,
850,2020-03-19,2020-03-21,Pierce County Emergency Management,Pierce,Tacoma,"Masks, Surgical / Gloves, Nitrile / Disinfectant",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 20203197250 29757,WA­ 20203197250,
851,2020-03-20,2020-03-21,Whidbey Health Medical,Island,Coupeville,"Ventilators, closed circuit",Life Saving,County,Assigned,Assigned,Logistics Section,WA­ 202032013875 IC­20­030044,WA­ 202032013875,
852,2020-03-19,2020-03-21,Pierce County Emergency Management,Pierce,Tacoma,FEMA Disability Integration Specialist,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031911105 29938,WA­ 202031911105,
853,2020-03-20,2020-03-21,South Island Medical,Island,Coupeville,"Gowns / Masks, N95 / Masks, Ear Loop",Incident Stabilization,County,Assigned,Assigned,Logistics Section,IC­20­030043,WA­ 202032013357,
854,2020-03-18,2020-03-21,Pierce County Emergency Management,Pierce,Tacoma,"Mask, N­95 / Glasses, safety, /Masks, Eye Protection",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031817389 29865/29863,WA­ 202031817389,
855,2020-03-19,2020-03-21,Careage of Whidbey,Island,Coupeville,Level 3 Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031913212 IC­20­030039,WA­ 202031913212,
856,2020-03-18,2020-03-21,Pierce County Emergency Management,Pierce,Tacoma,"Mask, N95, / Mask, surgical, / Gown, disposable, XL, / shield, face, Adult, / Glove, disposable, Medium,/ Glove, disposable, Large, / Glove, disposable, XL, /",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 20203189857 29719,WA­ 20203189857,
857,2020-03-19,2020-03-21,Careage of Whidbey,Island,Coupeville,"gown, disposable, 1200, / Gowns",Incident Stabilization,County,Assigned,Unassigned,Logistics Section,WA­ 202031913294 IC­20­030038,WA­ 202031913294,
858,2020-03-13,2020-03-21,Pierce County Emergency Management,Pierce,Tacoma,"mask, N95 / Gown, disposable / gloves, exam / goggles, safety / hand sanitizer",Incident Stabilization,County,Assigned,Assigned,Logistics Section,29105 WA­ 202031311732,WA­ 202031311732,
859,2020-03-17,2020-03-21,Whidbey Health Medical,Island,Coupeville,Test Kits,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031711981 IC­20­030020,WA­ 202031711981,
860,2020-03-17,2020-03-21,Whidbey Health Medical,Island,Coupeville,Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031711293 IC­20­030019,WA­ 202031711293,
861,2020-03-17,2020-03-21,Whidbey Health Medical,Island,Coupeville,Tyvek Suits,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031711332 IC­20­030018,WA­ 202031711332,
862,2020-03-19,2020-03-21,Skagit Regional Health/ BULK Med T1,Snohomish,Arlington,"Masks, N95, 3M",Incident Stabilization,County,Assigned,,,SnoCo­ 202031916324,WA­ 202031916324,
863,2020-03-19,2020-03-21,Cascade Health Clinic­SHD/ BULK Med T3,Snohomish,Sultan,"Mask, procedure",Incident Stabilization,County,Assigned,,,SnoCo­ 202032015302,WA­ 202032015302,
864,2020-03-19,2020-03-21,Cascade Health Clinic­SHD/ BULK Med T3,Snohomish,Sultan,"Gowns, disposable",Incident Stabilization,County,Assigned,,,SnoCo­ 202032015354,WA­ 202032015354,
865,2020-03-19,2020-03-21,Cascade Health Clinic­ SHD/BULK Med T3,Snohomish,Sultan,"Mask, N95",Incident Stabilization,County,Assigned,,,SnoCo­ 202032015426,WA­ 202032015426,
866,2020-03-18,2020-03-21,Heritage Court/ BULK Med T3,Snohomish,Everett,"Masks, Disposable",Incident Stabilization,County,Assigned,,,SnoCo­ 202031816365,WA­ 202031816365,
867,2020-03-20,2020-03-21,EMD,Pierce,Lakewood,Admin Assistant 3,Incident Stabilization,State,Assigned,Assigned,Planning Section,WA­ 202032015404 WA­ 202032015404,WA­ 202032015404,
868,2020-03-20,2020-03-21,University of Washington,King,Seattle,RR 379 (DO NOT REMOVE) ­ Disinfectant Supplies for University of Washington,Incident Stabilization,County,Unassigned,,,"PH­ 202032023750, RR 379",WA­ 202032023750,
869,2020-03-20,2020-03-21,Klickitat Valley Health,Klickitat,Goldendale,Laptop Computer,Incident Stabilization,State,Cancelled,,,260041,WA­ 202032020765,
870,2020-03-06,2020-03-20,King County FMD,King,Renton,Shelter (Supplies),Incident Stabilization,County,Assigned,Assigned,Logistics Section,KC­ 20203616928,WA­ 20203616928,
871,2020-03-19,2020-03-20,San Juan County DEM,San Juan,Friday Harbor,Sheltering and Feeding Equipment,Incident Stabilization,County,Unassigned,,,covid19.0000,WA­ 202031914919,
872,2020-03-19,2020-03-20,Bellevue Police Dept,King,Bellevue,Sanitizing/Disinfecting Wipes,Incident Stabilization,County,Assigned,,,BEL­ 202031911271 KC­ 202031911271,WA­ 202031911271,
873,2020-03-16,2020-03-20,King County Emergency Management,King,Renton,Drivethru Testing Facility,Incident Stabilization,County,Accepted,Accepted,Logistics Intergovernmental Resources Branch,KC­ 202031617710 KC­ 202031617710,WA­ 202031617710,
874,2020-03-13,2020-03-20,WA State DOH,Thurston,Tumwater,"staffing, Tumwater, Forklift Driver",Incident Stabilization,State,Assigned,Cancelled,ESF 1­Transportation,WA­ 202031315314,WA­ 202031315314,
875,2020-03-21,2020-03-23,DSHS ­ BHA,Thurston,Olympia,DSHS Western State Bulk PPE 2,Incident Stabilization,State,Assigned,Assigned,Logistics Section,DSHS­0021,WA­ 202032114120,
876,2020-03-22,2020-03-23,Clallam County EOC,Clallam,Forks,* Consolidated Clallam County List,Incident Stabilization,State,Accepted,Accepted,Logistics Section,WA­202032213500 Cl3­.22.20­1,WA­ 202032213500,
877,2020-03-21,2020-03-23,DSHS­BHA,Thurston,Olympia,* DSHS Eastern State Bulk PPE 1*,Incident Stabilization,State,Accepted,Accepted,Logistics Section,DSHS­0024,WA­ 202032115864,
878,2020-03-19,2020-03-23,Evergreen Health Monroe Hospital,Snohomish,Monroe,"Masks, N95",Incident Stabilization,County,Assigned,,,EGHM1 SnoCo­20203199110,WA­ 20203199110,
879,2020-03-19,2020-03-23,Evergreen Health Monroe Hospital,Snohomish,Monroe,"Gown, Isolation",Incident Stabilization,County,Assigned,,,EGHM3 SnoCo­20203199931,WA­ 20203199931,
880,2020-03-19,2020-03-23,Evergreen Health Monroe Hospital,Snohomish,Monroe,"Gloves, Exam",Incident Stabilization,County,Assigned,,,EGHM5 SnoCo­20203199592,WA­ 20203199592,
881,2020-03-19,2020-03-23,Evergreen Health Monroe Hospital,Snohomish,Monroe,"Hoods, PAPR 3M",Incident Stabilization,County,Assigned,,,EGHM2 SnoCo­20203199372,WA­ 20203199372,
882,2020-03-23,2020-03-23,Faithful Passion Care­ SHD,Snohomish,Everett,Gowns,Incident Stabilization,County,Accepted,,,Snoco­20203231515,WA­ 20203231515,
883,2020-03-23,2020-03-23,NEMCo ­ Sunrise Senior Living,King,Kenmore,Aprons and Gloves,Incident Stabilization,County,Unassigned,,,KEN003,WA­ 202032315891,
884,2020-03-23,2020-03-23,Faithful Passion Care­ SHD,Snohomish,Everett,Face masks,Incident Stabilization,County,Accepted,,,Snoco­202032315595,WA­ 202032315595,
885,2020-03-23,2020-03-23,Nisqually Indian Tribe Health Department,Thurston,Nisqually Indian Community,PPE,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­202032314846,WA­ 202032314846,
886,2020-03-23,2020-03-23,Faithful Passion Care­ SHD,Snohomish,Everett,Hand Sanitizer,Incident Stabilization,County,Accepted,,,Snoco­202032315579,WA­ 202032315579,
887,2020-03-23,2020-03-23,Faithful Passion Care­ SHD,Snohomish,Everett,Face Shields,Incident Stabilization,County,Accepted,,,Snoco­202032315163,WA­ 202032315163,
888,2020-03-12,2020-03-23,DSHS,Thurston,Tumwater,"Exam / Gown, Disposable / Mask, procedural / Mask, N95 / Shield, Face",Incident Stabilization,State,Assigned,Assigned Accepted,Logistics Section,DOH­T 0312.28 WA­202031217872,WA­ 202031217872,
889,2020-03-09,2020-03-23,DSHS ­ Long Term Care IC,Thurston,Olympia,"hand sanitizer / gloves / mask, surgical / shield, face / gown",Incident Stabilization,State,Assigned,Assigned,Logistics Section,DSHS­0011 DSHS­0011,WA­ 20203916839,
890,2020-03-09,2020-03-23,DSHS ­ Long Term Care IC,Thurston,Olympia,"hand sanitizer / gloves / mask / shield, face",Incident Stabilization,State,Assigned,Completed Assigned,Logistics Section,DSHS­0003,WA­ 2020398493,
891,2020-03-09,2020-03-23,DSHS ­ Long Term Care IC,Thurston,Olympia,"Masks, N95",Incident Stabilization,State,Assigned,Completed,Logistics Section,DSHS­0009,WA­ 20203916918,
892,2020-03-18,2020-03-21,Department of Corrections,Snohomish,Monroe,"Disinfecting, 100 Containers / Gown, Disposable, Large, 10 Cases / Shields, Face, Adult, 4 Boxes",Incident Stabilization,County,Assigned,Assigned,Logistics Section,COVID19_2020_0003,WA­ 202031817809,
893,2020-03-19,2020-03-21,Department of Corrections,Snohomish,Monroe,COVID­19 Test Kits,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­2020319747 COVID19_2020_00009,WA­ 2020319747,
894,2020-03-13,2020-03-21,Stevens County Sheriff's Ambulance,Stevens,Colville,Gloves / Glasses / Tyvek Suits / Germicide Wipes,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­202031313923 STEVENS001,WA­ 202031313923,
895,2020-03-09,2020-03-21,North County Fire,Snohomish,Stanwood,"Gown, Disposable",Incident Stabilization,County,Assigned,Assigned,Logistics Section,SnoCo­20203913211,WA­ 20203913211,
896,2020-03-09,2020-03-21,Snohomish Health District,Snohomish,Everett,"Mask, N95 / Gown, Disposable",Incident Stabilization,County,Assigned,Assigned,Logistics Section,SnoCo­20203912244,WA­ 20203912244,
897,2020-03-09,2020-03-21,Snohomish Health District,Snohomish,Everett,"Mask, N95, Medium",Incident Stabilization,County,Assigned,Assigned,Logistics Section,SnoCo­20203911561 SnoCo­20203911561,WA­ 20203911561,
898,2020-03-17,2020-03-21,Thurston County Emergency Management,Thurston,Olympia,"Mask, N95, 200",Incident Stabilization,County,Assigned,Assigned,Logistics Section,TH­202031911647 TH­202031911647,WA­ 202031911647,
899,2020-03-17,2020-03-21,Western Washington Medical Group,Snohomish,Everett,"Mask, Surgical",Incident Stabilization,County,Assigned,Assigned,Logistics Section,142 SNOCO ­ 20203179574,WA­ 20203179574,
900,2020-03-10,2020-03-21,Edmonds School District,Snohomish,Edmonds,"Gloves, Exam, Medium / Gloves, Exam, Large",Incident Stabilization,County,Assigned,Assigned,Logistics Section,SNOCO ­ WA­ 202031014590,WA­ 202031014590,
901,2020-03-09,2020-03-21,Providence Everett Medical,Snohomish,Everett,"respirator/PAPR, CAPR",Incident Stabilization,County,Assigned,Assigned,Logistics Section,PRMCE005 SnoCo­20203917626,WA­ 20203917626,
902,2020-03-12,2020-03-21,Community Health Center CHC,Snohomish,Everett,"Mask, Procedure",Incident Stabilization,County,Assigned,Assigned,Logistics Section,Snoco­20203121617,WA­ 20203121617,
903,2020-03-10,2020-03-21,Flourish Family Medicine,Snohomish,Mill Creek,"Mask, Procedure / Gown, Procedure, Medium / Gown, Procedure, Large",Incident Stabilization,County,Assigned,Assigned,Logistics Section,SnoCo­202031012344,WA­ 202031012344,
904,2020-03-16,2020-03-21,Rescare Homecare­ SHD,Snohomish,Everett,"Gloves, Exam, med / gloves, exam, small",Incident Stabilization,County,Assigned,Assigned,Logistics Section,Everett 78238­138 Snoco­20203169719,WA­ 20203169719,
905,2020-03-16,2020-03-21,View Ridge Care Center ­ SHD,Snohomish,Everett,"Gown, Isolation",Incident Stabilization,County,Assigned,Assigned,Logistics Section,Everett 78238­134 SnoCo­202031610104,WA­ 202031610104,
906,2020-03-16,2020-03-21,View Ridge Care Center ­ SHD,Snohomish,Everett,"Mask, Surgical",Incident Stabilization,County,Assigned,Assigned,Logistics Section,Everett 78238­135 SnoCo­202031610530,WA­ 202031610530,
907,2020-03-10,2020-03-21,Josephine Caring Community,Snohomish,Stanwood,"Gown, Disposable",Incident Stabilization,County,Assigned,Assigned,Logistics Section,SNOCO ­ WA­ 202031010476,WA­ 202031010476,
908,2020-03-16,2020-03-21,Mountain Veiw Rehab and Care Center,Snohomish,Marysville,"Gown, Disposable",Incident Stabilization,County,Assigned,Assigned,Logistics Section,Everett 78238­139 SNOCO ­ 20203161216,WA­ 20203161216,
909,2020-03-10,2020-03-21,Josephine Caring Community,Snohomish,Stanwood,"Goggles, Safety",Incident Stabilization,County,Assigned,Assigned,Logistics Section,SNOCO ­ WA­ 202031010775,WA­ 202031010775,
910,2020-03-16,2020-03-21,Sunrise View Convalescent Center­SHD,Snohomish,Everett,"Mask, Procedure",Incident Stabilization,County,Assigned,Assigned,Logistics Section,Snoco­20203161560,WA­ 20203161560,
911,2020-03-19,2020-03-19,Okanogan EM / Aero Methow,Okanogan,Twisp,"Sprayer, Electrostatic Cordless",Incident Stabilization,County,Unassigned,,,OKEM20200316­ 0005.6,WA­ 20203198623,
912,2020-03-19,2020-03-19,Okanogan EM / Aero Methow,Okanogan,Twisp,"Respirator, Particulate",Incident Stabilization,County,Unassigned,,,OKEM20200316­ 0005.4,WA­ 20203198541,
913,2020-03-11,2020-03-19,The Villager Inn,Cowlitz,Castle Rock,Medical protective equipment/supplies,Incident Stabilization,County,Unassigned,,,DEM­008,WA­ 202031110138,
914,2020-03-18,2020-03-19,Cowlitz 2 Fire & Rescue,Cowlitz,Kelso,Medical protective equipment/supplies,Incident Stabilization,County,Unassigned,,,DEM­019,WA­ 202031812111,
915,2020-03-10,2020-03-19,Kitsap County Administrative Services Department,Kitsap,Port Orchard,Personal Protective Equipment/Supplies,Incident Stabilization,State,Cancelled,Cancelled,Logistics Section,Kitsap­004,WA­ 202031013409,
916,2020-03-10,2020-03-19,Kitsap County Administrative Services Department,Kitsap,Port Orchard,Personal Protective Equipment/Supplies,Incident Stabilization,State,Cancelled,Cancelled,Logistics Section,Kitsap­003,WA­ 202031012163,
917,2020-03-09,2020-03-19,Kitsap County Admin Services,Kitsap,Bainbridge Island,Protective equipment/supplies,Incident Stabilization,State,Cancelled,Cancelled,Logistics Section,Kitsap­002,WA­ 20203916304,
918,2020-03-08,2020-03-19,DOH Area Command,Thurston,Tumwater,/ ^ SME for Resource Tracker,Incident Stabilization,State,Completed,Completed,Logistics Section,DOH­T 0308.4 WA­ 20203812901,WA­ 20203812901,
919,2020-03-18,2020-03-18,Island Hospital,Skagit,Anacortes,"mask,surgical/mask,N95",Incident Stabilization,County,Completed,,,2.02003E+11,WA­ 20203181712,
920,2020-03-18,2020-03-18,Skagit Community Detox,Skagit,Burlington,thermometer ear probe covers,Incident Stabilization,County,Unassigned,,,2.02003E+11,WA­ 202031817963,
921,2020-03-18,2020-03-18,Cowlitz Family Health Center,Cowlitz,Longview,Medical equipment,Incident Stabilization,County,Unassigned,,,DEM­020,WA­ 202031816696,
922,2020-03-18,2020-03-18,Smokey Point Behavioral Hospital,Snohomish,Everett,"Sanitizer, Hand",Incident Stabilization,County,Accepted,,,SnoCo­ 202031816465,WA­ 202031816465,
923,2020-03-14,2020-03-21,PHSKC ­ Needle Exchange Program,King,Seattle,"RR 270 hand sanitizer / disinfectant, wipes",Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031413275, RR 270 KC­ 202031413275",WA­ 202031413275,
924,2020-03-16,2020-03-21,Grays Harbor Fire District #7,Grays,Harbor Ocean Shores,"Gown, Disposable",Incident Stabilization,County,Assigned,Assigned,Logistics Section,GHFD7­002 GHC020,WA­ 202031611213,
925,2020-03-12,2020-03-21,Kirkpatrick Family Care,Cowlitz,Longview,"Mask, Procedure",Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031211984,WA­ 202031211984,
926,2020-03-11,2020-03-21,New Westside Terrace,Cowlitz,Longview,"Thermometers, No Contact",Incident Stabilization,County,Assigned,Assigned,Logistics Section,DEM­010,WA­ 20203111019,
927,2020-03-14,2020-03-21,Swedish Issaquah Medical,King,Issaquah,"wipes, Disinfectant / hand sanitizer pump / hand wash, foam / hand sanitizer",Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­ 202031423334, RR 293 KC­ 202031423334",WA­ 202031423334,
928,2020-03-17,2020-03-21,Newport Hospital and Health Services,Pend,Oreille Cusick,Viral Transport Media or Universal Transport Media,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031718633,WA­ 202031718633,
929,2020-03-16,2020-03-21,Grays Harbor Fire Dist. #7,Grays,Harbor Ocean Shores,Eyewear,Incident Stabilization,County,Assigned,Assigned,Logistics Section,GHFD7­003 GHC019,WA­ 202031611849,
930,2020-02-26,2020-03-21,PHSKC,King,Seattle,RR 133 / hand sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202022610875 WA­ 202022610875,WA­ 202022610875,
931,2020-03-12,2020-03-21,King County­ Department of Community and Human Services,King,Seattle,Hand Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KC­ 202031214752 WA­ 202031214752,WA­ 202031214752,
